Date,Type,TotalCases,NewCases
2020-03-24,Confirmed,53659,10073
2020-03-24,Deaths,705,154
2020-03-23,Confirmed,43586,10393
2020-03-23,Deaths,551,135
2020-03-22,Confirmed,33193,7776
2020-03-22,Deaths,416,109
2020-03-21,Confirmed,25417,6389
2020-03-21,Deaths,307,63
2020-03-20,Confirmed,19028,5420
2020-03-20,Deaths,244,44
2020-03-19,Confirmed,13608,5893
2020-03-19,Deaths,200,82
2020-03-18,Deaths,118,10
2020-03-18,Confirmed,7715,1362
2020-03-17,Deaths,108,23
2020-03-17,Confirmed,6353,1788
2020-03-16,Confirmed,4565,1133
2020-03-16,Deaths,85,22
2020-03-15,Confirmed,3432,772
2020-03-15,Deaths,63,9
2020-03-14,Confirmed,2660,548
2020-03-14,Deaths,54,7
2020-03-13,Confirmed,2112,516
2020-03-13,Deaths,47,7
2020-03-12,Confirmed,1596,382
2020-03-12,Deaths,40,4
2020-03-11,Confirmed,1214,322
2020-03-11,Deaths,36,8
2020-03-10,Deaths,28,6
2020-03-10,Confirmed,892,375
2020-03-09,Deaths,22,1
2020-03-09,Confirmed,517,65
2020-03-08,Deaths,21,4
2020-03-08,Confirmed,452,116
2020-03-07,Deaths,17,3
2020-03-07,Confirmed,336,119
2020-03-06,Deaths,14,2
2020-03-06,Confirmed,217,45
2020-03-05,Deaths,12,1
2020-03-05,Confirmed,172,68
2020-03-04,Confirmed,104,31
2020-03-04,Deaths,11,4
2020-03-03,Deaths,7,1
2020-03-03,Confirmed,73,20
2020-03-02,Confirmed,53,23
2020-03-02,Deaths,6,5
2020-03-01,Deaths,1,0
2020-03-01,Confirmed,30,6
2020-02-29,Deaths,1,1
2020-02-29,Confirmed,24,8
2020-02-28,Deaths,0,0
2020-02-28,Confirmed,16,0
2020-02-27,Deaths,0,0
2020-02-27,Confirmed,16,1
2020-02-26,Deaths,0,0
2020-02-26,Confirmed,15,0
2020-02-25,Deaths,0,0
2020-02-25,Confirmed,15,0
2020-02-24,Deaths,0,0
2020-02-24,Confirmed,15,0
2020-02-23,Deaths,0,0
2020-02-23,Confirmed,15,0
2020-02-22,Deaths,0,0
2020-02-22,Confirmed,15,0
2020-02-21,Deaths,0,0
2020-02-21,Confirmed,15,2
2020-02-20,Deaths,0,0
2020-02-20,Confirmed,13,0
2020-02-19,Deaths,0,0
2020-02-19,Confirmed,13,0
2020-02-18,Deaths,0,0
2020-02-18,Confirmed,13,0
2020-02-17,Deaths,0,0
2020-02-17,Confirmed,13,0
2020-02-16,Deaths,0,0
2020-02-16,Confirmed,13,0
2020-02-15,Deaths,0,0
2020-02-15,Confirmed,13,0
2020-02-14,Deaths,0,0
2020-02-14,Confirmed,13,0
2020-02-13,Deaths,0,0
2020-02-13,Confirmed,13,1
2020-02-12,Deaths,0,0
2020-02-12,Confirmed,12,0
2020-02-11,Deaths,0,0
2020-02-11,Confirmed,12,1
2020-02-10,Deaths,0,0
2020-02-10,Confirmed,11,0
2020-02-09,Deaths,0,0
2020-02-09,Confirmed,11,0
2020-02-08,Deaths,0,0
2020-02-08,Confirmed,11,0
2020-02-07,Deaths,0,0
2020-02-07,Confirmed,11,0
2020-02-06,Deaths,0,0
2020-02-06,Confirmed,11,0
2020-02-05,Deaths,0,0
2020-02-05,Confirmed,11,0
2020-02-04,Deaths,0,0
2020-02-04,Confirmed,11,0
2020-02-03,Deaths,0,0
2020-02-03,Confirmed,11,3
2020-02-02,Deaths,0,0
2020-02-02,Confirmed,8,0
2020-02-01,Deaths,0,0
2020-02-01,Confirmed,8,1
2020-01-31,Deaths,0,0
2020-01-31,Confirmed,7,2
2020-01-30,Deaths,0,0
2020-01-30,Confirmed,5,0
2020-01-29,Deaths,0,0
2020-01-29,Confirmed,5,0
2020-01-28,Deaths,0,0
2020-01-28,Confirmed,5,0
2020-01-27,Deaths,0,0
2020-01-27,Confirmed,5,0
2020-01-26,Deaths,0,0
2020-01-26,Confirmed,5,3
2020-01-25,Deaths,0,0
2020-01-25,Confirmed,2,0
2020-01-24,Deaths,0,0
2020-01-24,Confirmed,2,1
2020-01-23,Deaths,0,0
2020-01-23,Confirmed,1,0
